word	part_of_speech	category
clad	a	"""C-"" Words and Items"
tarmac	n,v	"""T-"" Words and Pairs"
now	n	Actions and Roles
unsung	a	Binding, Restraining and Undoing
mouser	n	Animals and Animal-Related Terms
lynch	v	"""L-"" Words"
turps	n	Chemical Compounds and Reactions
bass	a,n,n	"""B-"" Words and Objects"
whang	n,v	Actions and Descriptions
dobson	n	"Items, Actions and Concepts Starting with ""D"""
braw	a	Negative and Disturbing Adjectives
washed	a	Hygiene, Health, and Bodily Functions
skull	n	Body Parts and Related Terms
fondue	n	Food, Cooking, and Ingredients
mayo	n	Food, Cooking, and Ingredients
volar	a	Anatomical and Biological Terms
dreck	n	Negative and Disturbing Adjectives
euchre	n	Gossip, Deception, and Games
shower	n,n,v	Hygiene, Health, and Bodily Functions
snoopy	a	Nouns and Actions
rasp	n,v	"""R-"" Words and Rotational Movements"
shandy	n	Actions and Descriptions
jassid	n	Medical, Insects, and Skin Conditions
fridge	n	Places and Spaces
laid	a	"""L-"" Words"
cattle	n	Animals and Animal-Related Terms
raving	a,n	"""R-"" Words and Rotational Movements"
swirl	n,v	"""R-"" Words and Rotational Movements"
graded	a	"Words starting with ""G"""
brass	n	Lights, Colors, and Visibility
junky	n	Negative and Disturbing Adjectives
baboon	n	Animals and Animal-Related Terms
amuck	a	Negative and Disturbing Adjectives
nebule	n	Nouns and Actions
tweed	n	"""T-"" Words and Pairs"
pipet	n	"""P-"" Words"
vary	v	Actions and Roles
warm	a,v	Temperature and Heat-Related Terms
pound	n,v	Weight, Strength, and Body Descriptors
note	n,v	Actions and Roles
sword	n	Weapons and Cutting Tools
indue	v	Verbs and Actions
tweep	n	"""T-"" Words and Pairs"
gobbet	n	"Words starting with ""G"""
hooter	n	"""H-"" Words"
dig	n,v	"Items, Actions and Concepts Starting with ""D"""
clove	n	"""C-"" Words and Items"
sabicu	n	"""S-"" Words"
toner	n	"""T-"" Words and Pairs"
butyl	n	Chemical Compounds and Reactions
beryl	n	Minerals and Geology
patter	n,v	"""P-"" Words"
grume	n	Plant and Tree Species
oust	v	Actions and Roles
draft	n,v	"Items, Actions and Concepts Starting with ""D"""
arc	n,v	"Starting with ""A"" or ""E"""
linage	n	Actions and Roles
cerium	n	"""C-"" Words and Items"
elemi	n	"Starting with ""A"" or ""E"""
equity	n	Economic and Trade Terms
rely	v	Actions and Roles
towage	n	"""T-"" Words and Pairs"
xxvi	a	Numerals and Mathematical Terms
manque	a	Emotional and Physical States
slimy	a	Words Related to Shapes and Textures
adorer	n	Praise and Positivity
antic	a,n,v	"Starting with ""A"" or ""E"""
leach	n,v	"""L-"" Words"
grad	n	"Words starting with ""G"""
brat	n,n	Negative and Disturbing Adjectives
wonk	n	Negative and Disturbing Adjectives
loads	n	"""L-"" Words"
foyer	n	Places and Spaces
kauri	n	Plant and Tree Species
turner	n	Actions and Roles
menace	n,v	Negative and Disturbing Adjectives
pinko	n	Occupations and Personal Descriptors
gen	n	Alphabets, Animals, and Games
fiber	n	Clothing, Materials and Dressing Actions
aortal	a	Anatomical and Biological Terms
lupus	n	"""L-"" Words"
ogle	v	"""O-"" Words"
oxide	n	Chemical Compounds and Reactions
citrus	n	Food, Cooking, and Ingredients
scampo	n	Words Related to Shapes and Textures
buzzer	n	Actions and Descriptions
enamel	n,v	"Starting with ""A"" or ""E"""
dotty	a	Words Related to Shapes and Textures
onside	a	"""B-"" Words and Objects"
secret	a,n	Actions and Roles
won	a,n	Actions and Roles
muddle	n,v	Negative and Disturbing Adjectives
galop	n	Actions and Descriptions
claret	n,v	"""C-"" Words and Items"
litas	n	"""L-"" Words"
premix	n	"""P-"" Words"
putsch	n	Crimes, Violence and Misdeeds
notary	n	Verbs and Actions
couth	a,n	"""C-"" Words and Items"
teeter	n,v	Actions and Descriptions
beauty	n	Praise and Positivity
spoken	a	Communication and Media
regain	v	Verbs of Action and Change
hover	v	Actions and Roles
tiny	a	Personal Characteristics and Behaviors
mastic	n	Food, Cooking, and Ingredients
yarn	n,v	Clothing, Materials and Dressing Actions
due	a,n	"Items, Actions and Concepts Starting with ""D"""
pilous	a	Anatomical and Biological Terms
fang	n	Alphabets, Animals, and Games
hatful	n	Negative and Disturbing Adjectives
kelp	n	Animals and Animal-Related Terms
crape	n,v	"""C-"" Words and Items"
cuddy	n	"""C-"" Words and Items"
seem	v	Verbs and Actions
toot	n,v	"""T-"" Words and Pairs"
sneeze	n,v	Hygiene, Health, and Bodily Functions
hornet	n	Medical, Insects, and Skin Conditions
pump	n,v	"""P-"" Words"
nacre	n	Animals and Animal-Related Terms
fugu	n	Food, Cooking, and Ingredients
loin	n	"""L-"" Words"
revet	v	Actions and Roles
bop	n,v	"""B-"" Words and Objects"
wonton	n	Actions and Descriptions
slacks	n	Words Related to Shapes and Textures
agreed	a	Verbs and Actions
argus	n	"Starting with ""A"" or ""E"""
gimp	n,v	"Words starting with ""G"""
lynx	n	Animals and Animal-Related Terms
whacky	a	Negative and Disturbing Adjectives
tical	n	Actions and Roles
gybe	v	"Words starting with ""G"""
sweet	a,n	Praise and Positivity
skive	v	Words Related to Shapes and Textures
shod	a	Body Parts and Related Terms
cowled	a	Clothing, Materials and Dressing Actions
calcic	a	"""C-"" Words and Items"
stocks	n	Words Related to Shapes and Textures
embed	v	Actions and Roles
dunker	n	"Items, Actions and Concepts Starting with ""D"""
schuss	v	Weapons and Cutting Tools
bunch	n,v	"""B-"" Words and Objects"
peeing	n	Negative and Disturbing Adjectives
twilit	a	Lights, Colors, and Visibility
buxom	a	Weight, Strength, and Body Descriptors
thanks	n	Actions and Roles
pelvic	a	Anatomical and Biological Terms
dale	n	"Items, Actions and Concepts Starting with ""D"""
ennead	n	Numerals and Mathematical Terms
fizgig	n	Actions and Descriptions
abut	v	Actions and Roles
tetra	n	Numerals and Mathematical Terms
manual	a,n	Actions and Roles
reflex	a,n	Verbs of Action and Change
lumen	n	Lights, Colors, and Visibility
botch	n,v	Negative and Disturbing Adjectives
cl	a,n	Numerals and Mathematical Terms
caddie	n,v	Actions and Roles
tenia	n	"""T-"" Words and Pairs"
curium	n	"""C-"" Words and Items"
baring	n	"""B-"" Words and Objects"
gasbag	n	"Words starting with ""G"""
freeze	n,v	Temperature and Heat-Related Terms
soya	n	Food, Cooking, and Ingredients
ropy	a	Actions and Roles
amigo	n	Gender, Family and Greetings
beads	n	"""B-"" Words and Objects"
bill	n,v	"""B-"" Words and Objects"
cows	n	Animals and Animal-Related Terms
la	n	"""L-"" Words"
inguen	n	Alphabets, Animals, and Games
razing	n	"""R-"" Words and Rotational Movements"
year	n	Gender, Family and Greetings
slew	n,v	Words Related to Shapes and Textures
hushed	a	Personal Characteristics and Behaviors
swathe	n,v	Actions and Descriptions
cupola	n	Places and Spaces
amylum	n	"Starting with ""A"" or ""E"""
tined	a	"""T-"" Words and Pairs"
dragon	n	"Items, Actions and Concepts Starting with ""D"""
salol	n	"""S-"" Words"
assume	v	Actions and Roles
purple	a,n,v	Lights, Colors, and Visibility
pharos	n	Negative and Disturbing Adjectives
genial	a	Personal Characteristics and Behaviors
anther	n	Plant and Tree Species
stylet	n	Words Related to Shapes and Textures
loess	n	Minerals and Geology
suslik	n	"""S-"" Words"
furket	n	Negative and Disturbing Adjectives
hin	n	"""H-"" Words"
nova	n	Nouns and Actions
smarmy	a	Negative and Disturbing Adjectives
yardie	n	Occupations and Personal Descriptors
agio	n	"Words starting with ""G"""
satire	n	Gossip, Deception, and Games
lenten	a	Actions and Roles
some	a	Actions and Roles
belch	n,v	Hygiene, Health, and Bodily Functions
hide	n,v	Actions and Roles
lapdog	n	Occupations and Personal Descriptors
middle	a,n,v	"""M-"" Words"
daddy	n	Gender, Family and Greetings
papal	a	"""P-"" Words"
turnt	a	Actions and Roles
accept	v	Verbs and Actions
gambit	n	Gossip, Deception, and Games
orchil	n	"""O-"" Words"
desalt	v	Chemical Compounds and Reactions
edge	n,v	"""B-"" Words and Objects"
schism	n	Negative and Disturbing Adjectives
midway	a,n	"""M-"" Words"
furan	n	Negative and Disturbing Adjectives
funrun	n	"""R-"" Words and Rotational Movements"
ethyl	n	"Starting with ""A"" or ""E"""
dunk	n,v	"Items, Actions and Concepts Starting with ""D"""
baffle	n,v	Negative and Disturbing Adjectives
arete	n	"Starting with ""A"" or ""E"""
xl	a	Actions and Roles
medial	a	Body Parts and Related Terms
hyalin	n	Anatomical and Biological Terms
mod	a,n	Actions and Roles
moment	n	Actions and Roles
joyous	a	Praise and Positivity
lanugo	n	Clothing, Materials and Dressing Actions
clxxx	a	Numerals and Mathematical Terms
bregma	n	"""C-"" Words and Items"
peahen	n	"""P-"" Words"
dodgy	a	Negative and Disturbing Adjectives
rewind	v	Verbs of Action and Change
rebus	n	Gossip, Deception, and Games
bowtie	n	Binding, Restraining and Undoing
mitral	a	"""M-"" Words"
faro	n	Negative and Disturbing Adjectives
abaya	n	Clothing, Materials and Dressing Actions
nerves	n	Anatomical and Biological Terms
grasp	n,v	"""C-"" Words and Items"
sexy	a	Gender, Family and Greetings
pony	n	Animals and Animal-Related Terms
phone	n,v	Communication and Media
skyway	n	Modes of Transportation and Travel
pavior	n	"""P-"" Words"
malady	n	Medical, Insects, and Skin Conditions
mirky	a	Negative and Disturbing Adjectives
eggs	n	"Starting with ""A"" or ""E"""
merged	a	Actions and Roles
raglan	n	Clothing, Materials and Dressing Actions
later	a	Actions and Roles
boule	n	"""B-"" Words and Objects"
hake	n	"""H-"" Words"
kebab	n	Islamic and Middle Eastern Terms
flews	n	Negative and Disturbing Adjectives
docker	n	Actions and Roles
unwell	a	Emotional and Physical States
spawl	n	Words Related to Shapes and Textures
onkos	n	Medical, Insects, and Skin Conditions
topaz	n	Minerals and Geology
sunset	a,n	Lights, Colors, and Visibility
piece	n,v	"""P-"" Words"
rale	n	"""R-"" Words and Rotational Movements"
pyxis	n	"""C-"" Words and Items"
pup	n,v	Animals and Animal-Related Terms
dolor	n	Emotional and Physical States
bonnet	n,v	"""C-"" Words and Items"
harm	n,v	Crimes, Violence and Misdeeds
limbus	n	"""L-"" Words"
phlox	n	Plant and Tree Species
hotdog	n	Animals and Animal-Related Terms
bookie	n	Economic and Trade Terms
mosh	v	"""M-"" Words"
swivet	n	Actions and Descriptions
siren	n	Actions and Descriptions
actor	n	Occupations and Personal Descriptors
tower	n,n,v	Places and Spaces
fleet	a,n,v	Places and Spaces
xli	a	Numerals and Mathematical Terms
musher	n	"""M-"" Words"
bod	n	Weight, Strength, and Body Descriptors
luge	n,v	"""L-"" Words"
putoff	n	Verbs of Action and Change
carol	n,v	"""C-"" Words and Items"
verity	n	Actions and Roles
dobbin	n	Animals and Animal-Related Terms
marred	a	"""B-"" Words and Objects"
vermis	n	Anatomical and Biological Terms
achy	a	Negative and Disturbing Adjectives
yid	n	Gender, Family and Greetings
agency	n	Occupations and Personal Descriptors
busboy	n	Occupations and Personal Descriptors
mrem	n	"""M-"" Words"
padder	n	"""P-"" Words"
ewer	n	Actions and Roles
quart	n	Actions and Descriptions
dusty	a	Negative and Disturbing Adjectives
match	n,v	"""M-"" Words"
caff	n	Actions and Roles
wanker	n	Occupations and Personal Descriptors
vessel	n	Food, Cooking, and Ingredients
lunacy	n	Occupations and Personal Descriptors
glow	n,v	Lights, Colors, and Visibility
hoopoe	n	"""H-"" Words"
drub	v	"Items, Actions and Concepts Starting with ""D"""
flight	n,v	Negative and Disturbing Adjectives
hold	n,v	Actions and Roles
fleck	n,v	Words Related to Shapes and Textures
goral	n	"Words starting with ""G"""
hydra	n	Animals and Animal-Related Terms
vision	n	Actions and Roles
launch	n,v	Actions and Roles
jigg	v	Actions and Descriptions
undyed	a	"Items, Actions and Concepts Starting with ""D"""
tons	n	"""T-"" Words and Pairs"
slouch	n,v	Words Related to Shapes and Textures
civies	n	"""C-"" Words and Items"
stand	n,v	Words Related to Shapes and Textures
mutter	n,v	"""M-"" Words"
meadow	n	Plant and Tree Species
hearth	n	"""H-"" Words"
dearie	n	Emotional and Physical States
fugly	a	Negative and Disturbing Adjectives
draba	n	"Items, Actions and Concepts Starting with ""D"""
knee	n	Body Parts and Related Terms
quail	n,v	Actions and Descriptions
oxalic	a	"""O-"" Words"
echo	n,v	Actions and Roles
dulse	n	Animals and Animal-Related Terms
warmed	a	Temperature and Heat-Related Terms
topee	n	"""T-"" Words and Pairs"
ken	n	Alphabets, Animals, and Games
ensure	v	Actions and Roles
recall	n,v	Actions and Roles
ample	a	"Starting with ""A"" or ""E"""
wet	a,n,v	Negative and Disturbing Adjectives
penury	n	Emotional and Physical States
dhoti	n	Clothing, Materials and Dressing Actions
loom	n,v	"""L-"" Words"
crave	v	Emotional and Physical States
guano	n	Anatomical and Biological Terms
coated	a	Food, Cooking, and Ingredients
sedgy	a	"""B-"" Words and Objects"
excite	v	Verbs and Actions
bowery	a	Negative and Disturbing Adjectives
flirt	n,v	Actions and Descriptions
reseed	v	Plant and Tree Species
salty	a	Chemical Compounds and Reactions
lido	n	Places and Spaces
tatter	n	Negative and Disturbing Adjectives
bey	n	"""B-"" Words and Objects"
elicit	v	Verbs and Actions
ploy	n	Actions and Roles
lawn	n	Plant and Tree Species
hulk	n,v	"""H-"" Words"
aide	n	Actions and Roles
atopy	n	Medical, Insects, and Skin Conditions
livery	a,n	Occupations and Personal Descriptors
hubcap	n	"""C-"" Words and Items"
peplus	n	"""P-"" Words"
braggy	a	Praise and Positivity
grain	n,v	"Words starting with ""G"""
liter	n	"""L-"" Words"
theme	n,v	Actions and Roles
fleece	n,v	Clothing, Materials and Dressing Actions
vigil	n	Emotional and Physical States
beg	v	Actions and Roles
islay	n	Food, Cooking, and Ingredients
casaba	n	Islamic and Middle Eastern Terms
madam	n	Occupations and Personal Descriptors
ullage	n	Places and Spaces
fin	n,v	Negative and Disturbing Adjectives
nerd	n	Occupations and Personal Descriptors
appal	v	"Starting with ""A"" or ""E"""
syph	n	Medical, Insects, and Skin Conditions
gassy	a	"Words starting with ""G"""
wick	n	Actions and Descriptions
rectum	n	Anatomical and Biological Terms
prying	a,n	"""P-"" Words"
plump	a,n,v	Words Related to Shapes and Textures
none	a,n	Nouns and Actions
mews	n	Animals and Animal-Related Terms
rind	n	Food, Cooking, and Ingredients
bottle	n,v	Food, Cooking, and Ingredients
enate	a,n	Actions and Roles
beery	a	Food, Cooking, and Ingredients
phenol	n	Chemical Compounds and Reactions
evoke	v	Verbs and Actions
gumma	n	Food, Cooking, and Ingredients
hollo	n,v	"""H-"" Words"
trail	n,v	Words Related to Shapes and Textures
tip	n,v	"""T-"" Words and Pairs"
tops	a	"""T-"" Words and Pairs"
snub	a,n,v	Nouns and Actions
mahout	n	Animals and Animal-Related Terms
yurt	n	"""T-"" Words and Pairs"
frore	a	Temperature and Heat-Related Terms
vervet	n	Actions and Roles
bottom	a,n,v	Actions and Roles
coigne	n	"""C-"" Words and Items"
cover	n,v	Clothing, Materials and Dressing Actions
armour	n,v	Weapons and Cutting Tools
catty	a,n	Animals and Animal-Related Terms
tamal	n	Food, Cooking, and Ingredients
rifled	a	"""R-"" Words and Rotational Movements"
coy	a	"""C-"" Words and Items"
scum	n,v	Words Related to Shapes and Textures
cowrie	n	Animals and Animal-Related Terms
ball	n,v	"""B-"" Words and Objects"
flux	n,v	Negative and Disturbing Adjectives
other	a	Actions and Roles
ram	n,v	"""R-"" Words and Rotational Movements"
hater	n	Verbs and Actions
waxed	a	Clothing, Materials and Dressing Actions
leaner	n	"""L-"" Words"
scrag	n,v	Words Related to Shapes and Textures
misty	a	Negative and Disturbing Adjectives
vow	n,v	Verbs and Actions
eerie	a	Negative and Disturbing Adjectives
rebuke	n,v	Verbs and Actions
sue	v	"""S-"" Words"
cx	a	Numerals and Mathematical Terms
clop	n,v	"""C-"" Words and Items"
grate	n,v	"Words starting with ""G"""
drone	n,v	"Items, Actions and Concepts Starting with ""D"""
mammee	n	Plant and Tree Species
truth	n	Gossip, Deception, and Games
segno	n	Actions and Roles
ozaena	n	Anatomical and Biological Terms
dkm	n	Numerals and Mathematical Terms
solon	n	"""S-"" Words"
tress	n	Actions and Descriptions
sard	n	"Starting with ""A"" or ""E"""
renown	n	Praise and Positivity
plume	n,v	Words Related to Shapes and Textures
bitty	a	"Items, Actions and Concepts Starting with ""D"""
degree	n	"Words starting with ""G"""
spin	n,v	Words Related to Shapes and Textures
feline	a,n	Negative and Disturbing Adjectives
tire	n,v	"""T-"" Words and Pairs"
vivify	v	Verbs of Action and Change
detect	v	Actions and Roles
foil	n,v	Food, Cooking, and Ingredients
eery	a	Negative and Disturbing Adjectives
decal	n	"Items, Actions and Concepts Starting with ""D"""
udder	n	"Starting with ""A"" or ""E"""
dermic	a	Medical, Insects, and Skin Conditions
lefty	n	Body Parts and Related Terms
deride	v	Verbs and Actions
yawner	n	Emotional and Physical States
tunnel	n,v	Places and Spaces
runt	n	"""R-"" Words and Rotational Movements"
lentil	n	Food, Cooking, and Ingredients
hg	n	"""H-"" Words"
hidden	a	Actions and Roles
gavage	n	Hygiene, Health, and Bodily Functions
poppy	n	"""P-"" Words"
brunch	n,v	Food, Cooking, and Ingredients
bushy	a	Plant and Tree Species
flambe	v	Temperature and Heat-Related Terms
foamy	a	Negative and Disturbing Adjectives
knoll	n	Nouns and Actions
louver	n	"""L-"" Words"
grapey	a	"Words starting with ""G"""
molly	n	"""M-"" Words"
auxin	n	Chemical Compounds and Reactions
mishap	n	Negative and Disturbing Adjectives
scarf	n,v	Clothing, Materials and Dressing Actions
object	n,v	Actions and Roles
pawl	n	Body Parts and Related Terms
phot	n	Actions and Roles
acetal	n	"Starting with ""A"" or ""E"""
senpai	n	Gender, Family and Greetings
stow	v	Words Related to Shapes and Textures
tudung	n	Clothing, Materials and Dressing Actions
cooly	n	Temperature and Heat-Related Terms
charm	n,v	Actions and Descriptions
drivel	n,v	Hygiene, Health, and Bodily Functions
debris	n	Negative and Disturbing Adjectives
daunt	v	"Items, Actions and Concepts Starting with ""D"""
capped	a	"""C-"" Words and Items"
cubic	a	"""C-"" Words and Items"
footer	n	Actions and Roles
cortex	n	"""C-"" Words and Items"
luxe	a	Praise and Positivity
boring	a,n	Personal Characteristics and Behaviors
argosy	n	"Starting with ""A"" or ""E"""
deacon	n	"Items, Actions and Concepts Starting with ""D"""
amora	n	Praise and Positivity
opah	n	Gender, Family and Greetings
thwart	n,v	Verbs and Actions
wad	n,v	Actions and Descriptions
blase	a	Lights, Colors, and Visibility
muzzle	n,v	"""M-"" Words"
dozen	a,n	Numerals and Mathematical Terms
soup	n,v	Food, Cooking, and Ingredients
matzoh	n	Food, Cooking, and Ingredients
ding	n,v	Alphabets, Animals, and Games
steed	n	Animals and Animal-Related Terms
churn	n,v	Actions and Descriptions
pothos	n	Emotional and Physical States
be	v	"""B-"" Words and Objects"
smell	n,v	Negative and Disturbing Adjectives
attack	n,v	Verbs and Actions
driver	n	Modes of Transportation and Travel
llano	n	Clothing, Materials and Dressing Actions
piping	n	"""P-"" Words"
starry	a	Words Related to Shapes and Textures
anchor	n,v	"Starting with ""A"" or ""E"""
cark	v	"""C-"" Words and Items"
intro	n	Actions and Roles
kayak	n,v	Places and Spaces
minded	a	Gender, Family and Greetings
baby	n,v	Gender, Family and Greetings
centre	a,n,v	Actions and Roles
jarful	n	Negative and Disturbing Adjectives
unsent	a	Binding, Restraining and Undoing
ruined	a	Negative and Disturbing Adjectives
thrash	n,v	Actions and Descriptions
wampum	n	Body Parts and Related Terms
haulm	n	"""H-"" Words"
nullah	n	Nouns and Actions
crate	n,v	Places and Spaces
lxvi	a	Numerals and Mathematical Terms
doe	n	"Items, Actions and Concepts Starting with ""D"""
bated	a	Negative and Disturbing Adjectives
grief	n	Emotional and Physical States
made	a	Actions and Roles
wads	n	Actions and Descriptions
sacked	a	"""B-"" Words and Objects"
wag	n,v	Modes of Transportation and Travel
fluffy	a	Negative and Disturbing Adjectives
adnexa	n	"Starting with ""A"" or ""E"""
wave	n,v	Actions and Descriptions
blot	n,v	Words Related to Shapes and Textures
couch	n,v	Places and Spaces
fool	n,v	Occupations and Personal Descriptors
teary	a	Emotional and Physical States
bangle	n	Body Parts and Related Terms
sundae	n	Lights, Colors, and Visibility
mossy	a	"""M-"" Words"
peach	n,v	"""P-"" Words"
pinch	n,v	Actions and Descriptions
amino	a,n	"Starting with ""A"" or ""E"""
let	n,v	"""L-"" Words"
stolid	a	Words Related to Shapes and Textures
chore	n	Actions and Descriptions
melena	n	Anatomical and Biological Terms
defect	n,v	Negative and Disturbing Adjectives
reload	v	"""L-"" Words"
help	n,v	Actions and Roles
jeep	n	Modes of Transportation and Travel
fossil	a,n	Minerals and Geology
brag	a,n,v	Praise and Positivity
appro	n	Actions and Roles
lite	a	"""L-"" Words"
awning	n	Places and Spaces
callow	a	Personal Characteristics and Behaviors
genipa	n	Alphabets, Animals, and Games
axonal	a	Anatomical and Biological Terms
foment	v	Verbs and Actions
viroid	n	Medical, Insects, and Skin Conditions
landed	a	Modes of Transportation and Travel
wee	a,n,v	Actions and Descriptions
limbed	a	"""L-"" Words"
guilty	a	Verbs and Actions
crab	n,v	Animals and Animal-Related Terms
blare	n,v	Lights, Colors, and Visibility
cypre	n	"""C-"" Words and Items"
ration	n,v	"""R-"" Words and Rotational Movements"
swoosh	n,v	Actions and Descriptions
coup	n	Crimes, Violence and Misdeeds
shrike	n	Animals and Animal-Related Terms
rout	n,v	Modes of Transportation and Travel
tittle	n	"""T-"" Words and Pairs"
raze	v	"""R-"" Words and Rotational Movements"
spotty	a	Words Related to Shapes and Textures
pentad	n	Numerals and Mathematical Terms
rummy	a,n	Gossip, Deception, and Games
kris	n	Alphabets, Animals, and Games
grudge	n,v	Verbs and Actions
elated	a	Praise and Positivity
siris	n	Occupations and Personal Descriptors
abase	v	"Items, Actions and Concepts Starting with ""D"""
adduce	v	"Starting with ""A"" or ""E"""
